Tiêu đề,Nội dung
vi: Thuê một người bạn mạng sẽ trả tiền để bạn trò chuyện trực tuyến với người lạ và sẽ trình diễn nền tảng của nó tại TechCrunch Disrupt 2025,"vi: Vitali đã làm việc với Siametis trong khoảng hai thập kỷ; họ điều hành48FILM, liên hoan phim ngắn quốc tế (Vitali cũng là một nhà sản xuất phim ). Vì vậy, anh đã có một bước nhảy vọt về niềm tin để tin tưởng cộng sự của mình vào ý tưởng mà anh không thể nào lay chuyển được: một nền tảng trò chuyện video nơi mọi người có thể trả tiền mỗi phút cho một cuộc trò chuyện ngẫu nhiên với ""bạn bè trên mạng"" Rent a Cyber Friend đã tăng lên 3 triệu người đăng ký mà không cần huy động vốn đầu tư mạo hiểm hay chi bất kỳ khoản tiền nào cho marketing. Công ty thậm chí không có phương tiện truyền thông xã hội vì nó quá thiếu nhân lực để dành nguồn lực cho nó. Công ty khởi nghiệp này là một phần của chiến trường khởi nghiệp và sẽ trình bày tại TechCrunch Disrupt năm 2025 vào cuối tháng này tại San Francisco. Sự tăng trưởng nhanh chóng của công ty đã chứng minh phản ứng đầu tiên của Vitali là sai lầm, nhưng khi anh sử dụng sản phẩm, anh bắt đầu nhận ra rằng có một thị trường lớn cho sự kết nối giữa con người, đặc biệt là trong thời điểm mọi người đang trả tiền để nói chuyện với bot AI. ""Sự kịp thời là căn bệnh lớn nhất trên thế giới hiện nay,"" Vitali nói. ""Mọi tỷ người đều cô đơn, và họ không có việc làm hoặc mục đích tìm kiếm. Vì vậy, chúng tôi đã xây dựng một nền tảng nơi thời gian của con người có giá trị trở lại, và một nơi mà con người là quan trọng."" Bạn bè trên mạng được kiểm tra để xác minh danh tính của họ, và sau đó họ có thể đặt mức phí cho các cuộc trò chuyện mỗi phút; nền tảng giữ 20% mức phí đó. Mọi người không chỉ trả tiền để được bầu bạn. Một số bạn bè trên mạng tính phí cao hơn nếu họ là chuyên gia trong lĩnh vực học thuật hoặc đã qua kiểm tra về một chủ đề cụ thể, hoặc nếu họ nói một ngôn ngữ cụ thể mà người dùng muốn thực hành. Đối với bất kỳ nền tảng truyền thông xã hội nào-đặc biệt là kết nối mọi người trong các cuộc trò chuyện video thời gian thực-an toàn và kiểm duyệt nội dung là một thách thức. Vitali lưu ý rằng nền tảng này có một tính năng khối, nhưng khi công ty tiếp tục phát triển, nó sẽ cần đầu tư hơn nữa để duy trì một môi trường lành mạnh. Anh nói rằng kế tiếp trên bản đồ sản phẩm là một hệ thống mạnh mẽ và hiệu quả hơn để kiểm tra các bạn bè tiềm năng trên mạng nhanh hơn và triệt để hơn. Bước ngoặt của Vitali không lâu sau khi công ty ra mắt khi anh kết nối với một người 19 tuổi đến từ Trung Quốc. Anh nhận thấy người này là một trong những người dùng tích cực nhất của trang web, và anh đã chi 200 đô la mỗi ngày để trò chuyện với mọi người. Vitali đã sắp đặt trang web để anh là người bạn trực tuyến duy nhất có thể và sử dụng cơ hội hỏi người dùng về trải nghiệm của họ mà không tiết lộ rằng anh đã thành lập công ty. ""Anh ấy nói,"" Tôi không cảm thấy an toàn khi ra trung tâm mua sắm và gặp gỡ những người lạ, nhưng trang web này cho tôi khả năng trao đổi văn hóa và gặp gỡ mọi người trên toàn thế giới "", và đó là giây phút đầu tiên tôi nhận ra chúng tôi có một cái gì đó ở đây, "" Vitali nhớ lại. Anh vẫn nghĩ rằng những kết nối mà mọi người tạo ra trực tiếp là không thể thay thế. Nhưng trên một nền tảng internet nơi mọi người bị hút vào mối liên hệ nguy hiểm với các chatbot AI được thiết kế để tối đa hóa sự gắn kết, bước chuyển hướng về nhân loại này có ý nghĩa đối với anh. Nếu bạn muốn tìm hiểu thêm về Rent a Cyber Friend từ chính công ty-trong khi cũng kiểm tra hàng chục người khác, nghe những bài phát biểu của họ và lắng nghe các diễn giả khách mời ở bốn giai đoạn khác nhau-hãy tham gia cùng chúng tôi tại Disrupt, ngày 27 đến 29 tháng 10, tại San Francisco. Học thêm ở đây."
vi: Một làn sóng mới của các ứng dụng truyền thông xã hội mang đến hy vọng trong một thế giới có thể kiểm soát được,"vi: "" Một trong những người thử nghiệm ban đầu của chúng tôi nói rằng: "" Nó giống như Wikipedia "", nhưng nếu Wikipedia biết chính xác những gì tôi đang nghĩ, "" cô nói, và thêm vào đó người dùng của cô gọi cô là "" Lore mẹ "". Emily Herrera, một nhà đầu tư tiêu dùng làm việc tại Slow Ventures, nói rằng những người sáng tạo như Naqvi đã thêm vào đó: "" Người chiến thắng sẽ là những nền tảng kết hợp sự thân mật, tiện ích và sáng tạo trong một hệ sinh thái "", cô nói, "" Họ sẽ không giống như các mạng xã hội truyền thống; họ sẽ cảm thấy như một môi trường nhiều người cùng xây dựng, mua sắm và thuộc về tất cả cùng một lúc. "" Hoặc, như Naqvi nói: Mọi người "" muốn có những công cụ giúp họ nhớ tại sao trực tuyến lại thú vị ngay từ đầu. """
"vi: Deel đạt được định giá 17,3 tỷ USD sau khi gọi được 300 triệu USD từ các nhà đầu tư mạo hiểm lớn","vi: Mặc dù ngành công nghệ rất thú vị khi theo dõi những vụ bê bối gián điệp của các công ty đối thủ về lương, nhưng các nhà đầu tư mạo hiểm hàng đầu rõ ràng không hề sợ hãi. Deel hôm thứ Năm đã thông báo rằng họ đã gọi được 300 triệu đô-la tiền vốn Series E do Ribbit Capital và Andreessen Horowitz, hai công ty đầu tư mạo hiểm công nghệ danh giá hạng A, đồng điều hành, với sự tham gia của các nhà đầu tư hiện tại như Coatue Management và General Catalyst. Deel nói rằng họ đã thu được lợi nhuận trong ba năm và vượt quá 1 tỷ đô-la ARR, bao gồm cả một tháng  tháng 9  đạt doanh thu 100 triệu đô-la. Mô hình kinh doanh của Deel tập trung vào phục vụ các công ty toàn cầu, xử lý sự phức tạp của tiền tệ và quy định việc làm cho các đội ngũ quốc tế rộng lớn. Nó nói rằng hiện tại nó đã phát triển lên 35.000 khách hàng với hơn 1,5 triệu công nhân tại hơn 150 quốc gia. Đó là những con số thu hút đầu tư, đang chờ các vụ kiện tụng hoặc không. (Cuộc kiện do hãng Ripple đệ trình chống lại Deel ở California chưa có ngày thử nghiệm và đang trong giai đoạn khám phá, theo tocourt Records.) Thật vậy, người sáng lập Ribbit, Micky Malka, và đồng sáng lập a16z Ben Horowitz, đã ủng hộ Deel hết lòng trong thông báo. Trong các tuyên bố đã chuẩn bị sẵn, Malka nói Ribbit là ""người hâm mộ "" của công ty nhân sự trong một thời gian dài, bởi vì nó là "" một công ty thương hiệu đáng tin cậy "", và Horowitz nói rằng a16z đã bị "" thổi bay "" bởi công việc của Deel nhằm xây dựng "" nền tảng nhân sự tốt nhất "" cho các công ty toàn cầu. Giá trị của nó, các vụ kiện tụng cũng không làm chậm lại nỗ lực gây quỹ của Rippling. Vào tháng 5, Rebling đã gọi được 450 triệu đô-la tiền vốn Series Ground với giá trị 16,8 tỷ đô-la."
vi: Cách một nhà điều hành trang web tai nghe xây dựng công ty khởi nghiệp Lantern để giải quyết vấn đề của riêng mình,"vi: Keith cho biết thêm rằng các tính năng của Lantern, như chức năng của ví, trực tiếp xuất hiện trong thanh toán mà không cần pop-up hay chuyển hướng, giúp ích cho cả người tiêu dùng và thương hiệu. Trong lộ trình sản phẩm, công ty có kế hoạch tận dụng AI và cung cấp cho khách hàng những hiểu biết và khuyến nghị về việc giữ chân khách hàng."
vi: 2 ngày cuối cùng để giành quyền tham gia cuộc triển lãm tại TechCrunch Disrupt 2025,"vi: TechCrunch Disrupt 2025 diễn ra từ ngày 27 đến ngày 29 tháng 10 tại Moscone West, San Francisco, và không gian triển lãm gần như đã chật kín. Còn chưa đầy hai ngày nữa để ngồi vào bàn, giờ là lúc bạn phải can thiệp trước khi đối thủ cạnh tranh thay thế bạn. Hãy giới thiệu thương hiệu của bạn với 10.000 nhà sáng lập, nhà đầu tư, truyền thông và lãnh đạo công nghệ đang săn tìm bước đột phá tiếp theo. Tạo dựng các mối quan hệ đáng giá một năm chỉ trong ba ngày. Tạo ra các đầu mối hấp dẫn. Thu hút sự chú ý của nhà đầu tư. Nếu công việc của bạn đang tạo sóng, tầm nhìn của bạn hấp dẫn, hoặc đội ngũ của bạn sẵn sàng phát triển, đây là thời điểm tỏa sáng của bạn tại một trong những hội nghị công nghệ được mong đợi nhất trong năm. Mỗi cuộc trò chuyện. Mỗi kết nối. Mỗi khoảnh khắc đều quan trọng tại Disrupt. Hãy ngồi vào bàn của bạn vào ngày mai, ngày 17 tháng 10, trước khi đối thủ cạnh tranh của bạn trở thành tâm điểm chú ý. Hãy đọc ngay bây giờ."
vi: General Intuition nhận được hạt giống trị giá 134 triệu đô la để dạy các đặc vụ lý luận không gian bằng các đoạn video game ngắn,"vi: De Witte nói với TechCrunch rằng tập dữ liệu của Medal, một nền tảng tải lên và chia sẻ các clip trò chơi video, đã mở ra một lĩnh vực nghiên cứu AI mới, sử dụng kho video game để đào tạo và xây dựng các mô hình nền tảng cũng như các nhân viên AI có thể hiểu được cách các vật thể và thực thể di chuyển trong không gian và thời gian-một khái niệm được gọi là lý luận không gian-thời gian. Được gọi là Tổng Trực giác, công ty khởi nghiệp này đánh cược rằng bộ dữ liệu của Medal-bao gồm 2 tỷ video mỗi năm từ 10 triệu người dùng hoạt động hàng tháng trên hàng chục nghìn trò chơi-sẽ vượt qua các ứng dụng thay thế như Twitch hoặc YouTube để đào tạo nhân viên. "" Khi bạn chơi video game, về cơ bản bạn sẽ chuyển nhận thức của mình, thường là qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition, nói với TechCrunch. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thường là qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thường là qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thường là qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thông qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thông qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thông qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte, CEO của Medal và General Intuition. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thông qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" Pim de Witte nói với TechCrunch. Anh lưu ý rằng những game thủ tải clip lên có xu hướng chuyển nhận thức của mình, thông qua góc nhìn của người thứ nhất từ máy ảnh, sang các môi trường khác nhau, "" công ty này cho biết, có thể chuyển đổi một cách tự nhiên sang các hệ thống vật lý như cánh tay robot, máy bay không người lái và các phương tiện tự điều khiển, thường được điều khiển bởi con người bằng các bộ điều khiển trò chơi video. Cột mốc tiếp theo của General Intuition có hai điểm: tạo ra các thế giới mô phỏng mới để đào tạo các nhân viên khác và tự điều khiển các môi trường vật lý hoàn toàn xa lạ. Cách tiếp cận kỹ thuật này định hình cách công ty dự định thương mại hóa công nghệ của mình và tạo ra sự khác biệt so với các đối thủ xây dựng mô hình thế giới. Trong khi General Intuition cũng xây dựng các mô hình thế giới để đào tạo các nhân viên của mình, thì các mô hình đó không phải là sản phẩm. Không giống như các nhà sản xuất mô hình thế giới khác như DeepMind và World Labs, những công ty đang bán các mô hình thế giới của mình, tương ứng là Genie và Marble, để đào tạo nhân viên và tạo nội dung, General Intuition tập trung vào các trường hợp sử dụng khác để tránh các vấn đề về bản quyền. "" Mục tiêu của chúng tôi không phải là tạo ra các mô hình cạnh tranh với các nhà phát triển trò chơi, "" de Witte nói. Thay vào đó, các ứng dụng trò chơi của công ty tập trung vào việc tạo ra các bot và các nhân vật không phải người chơi có thể vượt qua các "" bot xác định "" truyền thống, hoặc các nhân vật được lập trình sẵn để tạo ra cùng một kết quả mỗi lần. "" [Các bot] có thể mở rộng đến bất kỳ mức độ khó khăn nào, "" Moritz Baier-Lentz, một thành viên sáng lập của General Intuition và là đối tác tại Lightspeed Ventures, nói với TechCrunch. "" Việc tạo ra một bot thần thánh có"
vi: 48 giờ cuối cùng để tiết kiệm trước khi đợt bán hàng nhanh TechCrunch Disrupt 2025 kết thúc,"vi: TIMESTOOD! TechCrunch Disrupt 2025 diễn ra tại Moscone West, San Francisco vào ngày 27-29 tháng Mười, và đây là cơ hội cuối cùng để bạn tiết kiệm được một khoản lớn trước khi cửa mở. Giá vé tăng sau ngày mai, 17 tháng Mười lúc 11: 59 tối PT, vì vậy đừng đợi. Hãy tiết kiệm tới 624 đô la cho tấm vé ngay bây giờ, và nếu bạn đi cùng nhóm, bạn có thể tiết kiệm từ 15% đến 30% tiền vé cho nhóm. Disrupt là nơi thế giới khởi nghiệp hội tụ. Tham gia cùng 10.000 nhà sáng lập, nhà đầu tư mạo hiểm và nhà đổi mới công nghệ để nghe hơn 250 nhà lãnh đạo ngành trong hơn 200 phiên, khám phá những đột phá của các công ty khởi nghiệp từ hơn 300 buổi diễn, và trải nghiệm cường độ của Battlefield 200-cuộc thi thuyết phục mang tính biểu tượng đã thành lập các công ty như Dropbox, Cloudflare và Vurb. Đội hình các nhà thuyết trình năm nay có những cái tên ấn tượng chia sẻ hiểu biết về tương lai của AI, gây quỹ, không gian, mở rộng quy mô các ý tưởng đột phá, và nhiều thứ khác, bao gồm: Xem danh sách đầy đủ các diễn giả ở đây. Disrupt được thiết kế cho bất cứ ai khởi nghiệp, vận hành, đổi mới, đầu tư và nhiều hơn nữa. Hãy chọn tấm vé giúp bạn đạt được mục tiêu tốt nhất. Đối với các nhà sáng lập: Tấm vé của bạn mở ra cánh cửa giúp bạn xây dựng các mối liên hệ vô giá với các nhà đầu tư, đối tác tiềm năng và cố vấn-cộng với quyền truy cập độc quyền vào các buổi hướng dẫn khởi nghiệp được thiết kế để giúp bạn phát triển thông minh hơn và mở rộng quy mô nhanh hơn. Lợi ích của nhà sáng lập-Đối với nhà đầu tư: Sự phá sản cho phép bạn tiếp cận hàng ghế đầu với các công ty khởi nghiệp hứa hẹn nhất trong tương lai, các giao dịch được sắp xếp và các cơ hội kết nối cá nhân được thiết kế để khơi dậy khoản đầu tư lớn tiếp theo của bạn. Xem lợi ích của nhà đầu tư-Đừng trả thêm tiền cho cùng một chỗ ngồi! Hãy đảm bảo tấm vé của bạn ở đây trước khi hết giờ vào ngày mai, 17 tháng Mười lúc 11: 59 tối PT và tham gia cùng các nhà lãnh đạo định hình những gì tiếp theo trong công nghệ. Hãy mua vé cho nhóm của bạn với mức giảm giá tới 30% ở đây."
vi: Làm thế nào mà AAF được Mubadala hậu thuẫn đang giành được các hợp đồng đầu tư mạo hiểm ở một số công ty khởi nghiệp nóng nhất,"vi: Đã gần một thập kỷ kể từ khi Omar Darwazah và Kyle HendricklaunchedAAF Management và quỹ đầu tiên trị giá 25 triệu đô la vào năm 2017. Thay vì chạy đua để tăng đáng kể tài sản của họ dưới sự quản lý như nhiều quỹ khác trong những năm gần đây, các cổ đông cố tình giữ quy mô quỹ của họ ở mức nhỏ, ngay cả khi danh tiếng và lợi nhuận của họ đã tăng lên. Phương tiện mới nhất của họ-một quỹ lai đầu tư 55 triệu đô la, được gọi là Quỹ Axis, vừa đóng cửa gần đây-đã mang lại tổng tài sản của công ty đầu tư mạo hiểm có trụ sở tại Washington lên tới khoảng 250 triệu đô la trên bốn quỹ. Công ty đã huy động được 39 triệu đô la Quỹ II vào năm 2021 và 32 triệu đô la quỹ đầu tư vào năm 2017 cho một nhóm cổ đông góp vốn được chọn. "" Việc điều hành một quỹ 50 triệu đô la rất khác với việc điều hành một quỹ 500 triệu đô la, "" cổ đông thường Darwazah nói trong một cuộc phỏng vấn với TechCrunch. "" Chúng tôi thấy rằng quy mô quỹ lớn có thể phá vỡ sự liên kết giữa GP-LP khi nó trở thành một chức năng của việc tạo ra lợi nhuận quản lý so với việc tạo ra lợi nhuận được hưởng, và đó không phải là trò chơi chúng tôi muốn chơi. "" Không giống như các công ty đầu tư mạo hiểm điển hình đầu tư trực tiếp vào các công ty khởi nghiệp, AAF đang áp dụng các yếu tố của mô hình quỹ đầu tư, nơi nó đầu tư một phần vốn vào danh mục các quỹ mới nổi ngoài việc hỗ trợ các công ty khởi nghiệp. Với quỹ thứ tư này, AAF có kế hoạch đầu tư vào các nhà quản lý mới nổi đầu tiên hoặc thứ hai (thường dưới 50 triệu đô la) và các công ty danh mục đầu tư triển vọng nhất của họ từ các quỹ trước hạt giống đến IPO, các cổ đông cho biết. Công ty đang phân bổ khoảng 80% vốn cho các công ty khởi nghiệp và 20% cho các quỹ mới nổi, pha trộn hai yếu tố này thành một "" đối tác hình thành vốn một cửa "" cho các nhà sáng lập và quản lý quỹ tương tự. Cho đến nay, Quỹ Axis đã hỗ trợ 25 quỹ đầu tư mạo hiểm trước hạt giống và giai đoạn hạt giống, cùng với năm khoản đặt cược trực tiếp vào các công ty khởi nghiệp giai đoạn đầu và tăng trưởng. "" Chúng tôi nhận thấy rằng tập dữ liệu phong phú nhất về các công ty thị trường tư nhân ở các giai đoạn đầu thành lập trong thập kỷ qua chỉ được truy cập thông qua kiểm tra LP ở các nhà quản lý mới nổi "", Hendrick, cổ đông thường khác của công ty cho biết. Chiến lược quỹ kép này đã cho phép AAF tiếp cận nhiều công ty khởi nghiệp đầy hứa hẹn. Công ty này là nhà đầu tư ban đầu của Citigras, Crata, Flutterwave, Jasper và Hello Heart. Tương tự, thông qua các quỹ mà nó là LP, AAF giữ sự tiếp xúc gián tiếp với các công ty khác, bao gồm Mercury, Deel, Retool và các công ty AI hàng đầu của Mỹ; một công ty đầu tư mạo hiểm hàng tỷ đô la Mỹ; và một công ty đại chúng đang hỗ trợ quỹ thứ tư này, công ty cho biết. Darwazah và Hendrick đến với các quỹ mạo hiểm từ các nền tảng khác nhau. Darwazah, người trước đây làm việc trong lĩnh vực tài chính doanh nghiệp và cổ phần tư nhân ở Trung Đông, đã dành nhiều năm nối dòng vốn vùng Vịnh với các công ty khởi nghiệp ở Mỹ. Hendrick, một cựu doanh nhân cũng từng làm việc tại Đại sứ quán UAE ở Mỹ và văn phòng gia đình ở Abu Dhabi, đã đưa ống kính của nhà điều hành vào các giao dịch đầu tiên của AAF. Qua bốn quỹ của mình, AAF đã thực hiện 138 khoản đầu tư trực tiếp và hỗ trợ 39 nhà quản lý mới nổi, với 20 danh mục đầu tư với tổng giá trị gần 2 tỷ đô la. Những khoản đầu tư này bao gồm Tru Optik, MoneyLion, Even Financial, Portfolium, Prodigy, Betterview, Lightyear, Trim, HeyDoctor và Medumo. Ít nhất sáu công ty đại chúng đã mua lại các công ty danh mục đầu tư của mình, bao gồm TransUnion, Giant Digital, GoodRx và Affirm. Công ty cho biết tất cả những điều này cộng lại với một số các loại thuốc viên trước đây của nó xếp hạng trong top decile về TVPI ròng cho các loại thuốc viên tương ứng, theo dữ liệu của"
"vi: Nhân viên Anthropic 'Kỹ năng' của họ đã giúp Claude làm việc nhanh hơn, rẻ hơn và nhất quán hơn như thế nào trong quy trình làm việc của doanh nghiệp","vi: Khi tính năng này được giới thiệu tới hơn 300.000 khách hàng doanh nghiệp của Anthropic, câu hỏi thực sự sẽ không phải là liệu công ty của bạn có sử dụng AI hay không-mà sẽ là liệu AI của bạn có biết công ty của bạn thực sự hoạt động ra sao."
